"Цена","Пробег","Год","Владельцы"
"825136","173054","2021","1"
"960837","192414","2014","4"
"1165315","246842","2024","2"
"1383475","156014","2022","3"
"1552173","122077","2018","1"
"1024058","123950","2017","1"
"1590109","26479","2011","2"
"1453554","174995","2021","3"
"1372326","141995","2011","3"
"1208624","240209","2024","3"
"1107416","35995","2014","3"
"1550562","115800","2012","2"
"902189","19644","2010","3"
"943778","212828","2011","1"
"1455659","223030","2022","4"
"1596307","191497","2010","4"
"1154284","196763","2011","2"
"977327","169333","2015","3"
"942659","122861","2016","3"
"997159","231333","2016","2"
"962535","209327","2023","3"
"759402","168896","2011","3"
"1113043","203421","2021","3"
"1481023","122595","2021","1"
"685305","192786","2010","4"
"1261473","99348","2024","3"
"1572996","87844","2020","4"
"1040344","203541","2022","3"
"677275","232985","2013","2"
"1576099","75994","2011","3"
"1578378","248809","2020","1"
"1521818","153620","2019","1"
"967126","147475","2016","1"
"706087","197648","2021","2"
"1146042","151373","2015","1"
"856389","10304","2020","3"
"1140355","187157","2021","4"
"1436796","174205","2023","2"
"1293903","130382","2016","4"
"1027301","107691","2011","3"
"987392","220929","2013","1"
"881604","19602","2010","3"
"1426533","150719","2022","3"
"1117213","176780","2014","4"
"1504432","178952","2011","2"
"1259509","202174","2024","3"
"705241","143988","2015","4"
"1074586","106088","2012","2"
"1054743","103479","2022","3"
"1336194","60237","2013","1"
"1565061","42069","2017","2"
"1116548","176681","2020","2"
"1586233","19535","2020","2"
"1138583","169248","2011","3"
"652600","84815","2018","3"
"1270546","103806","2013","1"
"1404511","249391","2020","3"
"952722","51875","2015","2"
"1271415","188960","2011","4"
"1406039","144022","2020","4"
"1190973","208785","2022","1"
"1423459","30774","2015","2"
"1133261","232957","2016","1"
"961606","230316","2022","1"
"1042910","183364","2018","3"
"1476882","144405","2013","1"
"980708","113139","2012","2"
"1012210","191545","2015","4"
"1462724","205628","2019","1"
"994142","92515","2017","2"
"1402683","148180","2011","2"
"671373","130132","2016","3"
"1560016","235605","2020","4"
"892780","13930","2010","4"
"1312007","226009","2016","1"
"1019280","168911","2011","3"
"780483","194802","2011","3"
"1296270","68460","2015","3"
"954341","232746","2020","4"
"881652","126507","2012","3"
"940762","62939","2022","2"
"1184432","221289","2024","2"
"1300819","230853","2010","4"
"1211512","66685","2019","3"
"990309","244354","2012","3"
"804378","56591","2015","2"
"660970","165299","2021","4"
"1152489","84040","2018","4"
"973249","139785","2015","3"
"831914","210161","2021","1"
"1484210","93937","2024","1"
"1117494","51224","2015","3"
"1293235","228286","2017","4"
"937542","215634","2015","1"
"1152270","22818","2015","1"
"751418","227660","2021","4"
"961579","208976","2021","1"
"1548918","62869","2011","3"
"1249781","83023","2017","4"
"661582","96040","2017","3"
"661582","96040","2017","3"
